Year,Name,Rank,Country,Region,DOB,Gender,Self Made,Generation,Industry,Industry Aggregator,Company,Company Info,Company Acquired,Net Worth US Billion,Count
2005,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,46.5,1
2000,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,60.0,1
2007,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,56.0,1
2006,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,50.0,1
2009,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,40.0,1
2008,Warren Buffett,1.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,62.0,1
2002,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,52.8,1
2001,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,58.7,1
2004,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,46.6,1
2011,Carlos Slim Helu,1.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,74.0,1
2010,Carlos Slim Helu,1.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,53.5,1
2013,Carlos Slim Helu,1.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,73.0,1
2012,Carlos Slim Helu,1.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,69.0,1
2003,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,40.7,1
2014,Bill Gates,1.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,76.0,1
2006,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,42.0,1
2000,Larry Ellison,2.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,47.0,1
2002,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,35.0,1
2005,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,44.0,1
2012,Bill Gates,2.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,61.0,1
2010,Bill Gates,2.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,53.0,1
2014,Carlos Slim Helu,2.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,72.0,1
2013,Bill Gates,2.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,67.0,1
2003,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,30.5,1
2009,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,37.0,1
2007,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,52.0,1
2001,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,32.3,1
2004,Warren Buffett,2.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,42.9,1
2011,Bill Gates,2.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,56.0,1
2008,Carlos Slim Helu,2.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,60.0,1
2014,Amancio Ortega,3.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,64.0,1
2011,Warren Buffett,3.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,50.0,1
2009,Carlos Slim Helu,3.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,35.0,1
2013,Amancio Ortega,3.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,57.0,1
2012,Warren Buffett,3.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,44.0,1
2001,Paul Allen,3.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,30.4,1
2000,Paul Allen,3.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,28.0,1
2010,Warren Buffett,3.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,47.0,1
2004,Karl Albrecht,3.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,23.0,1
2003,Theo and Karl Albrecht,3.0,Germany,Europe,Unknown,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Aldi Nord,inherited,new,25.6,1
2006,Carlos Slim Helu,3.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,30.0,1
2007,Carlos Slim Helu,3.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,49.0,1
2005,Lakshmi Mittal,3.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,25.0,1
2008,Bill Gates,3.0,United States,North America,1956,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,58.0,1
2002,Theo and Karl Albrecht,3.0,Germany,Europe,Unknown,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Aldi Nord,inherited,new,26.8,1
2004,Prince Alwaleed Bin Talal Alsaud,4.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,21.5,1
2008,Lakshmi Mittal,4.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,45.0,1
2000,Warren Buffett,4.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,25.6,1
2012,Bernard Arnault,4.0,France,Europe,1949,male,self-made,Unknown,Consumer,Traded Sectors,LVMH,founder non-finance,acquired,41.0,1
2011,Bernard Arnault,4.0,France,Europe,1949,male,self-made,Unknown,Consumer,Traded Sectors,LVMH,founder non-finance,acquired,41.0,1
2006,Ingvar Kamprad,4.0,Sweden,Europe,1927,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,IKEA,founder non-finance,new,28.0,1
2002,Paul Allen,4.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,25.2,1
2001,Larry Ellison,4.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,26.0,1
2005,Carlos Slim Helu,4.0,Mexico,Latin America,1940,male,self-made,Unknown,Media,Non-Traded Sectors,Telmex,privatized and resources,privatization,23.8,1
2007,Ingvar Kamprad,4.0,Sweden,Europe,1927,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,IKEA,founder non-finance,new,33.0,1
2009,Larry Ellison,4.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,22.5,1
2013,Warren Buffett,4.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,53.5,1
2003,Paul Allen,4.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,20.1,1
2010,Mukesh Ambani,4.0,India,South Asia,1958,male,inherited,Unknown,Energy,Resource Related,Reliance,inherited,new,29.0,1
2014,Warren Buffett,4.0,United States,North America,1931,male,self-made,Unknown,Consumer,Traded Sectors,Berkshire Hathaway,founder non-finance,new,58.2,1
2008,Mukesh Ambani,5.0,India,South Asia,1958,male,inherited,Unknown,Energy,Resource Related,Reliance,inherited,new,43.0,1
2009,Ingvar Kamprad,5.0,Sweden,Europe,1927,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,IKEA,founder non-finance,new,22.0,1
2003,Prince Alwaleed Bin Talal Alsaud,5.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,17.7,1
2000,Theo and Karl Albrecht,5.0,Germany,Europe,Unknown,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Aldi Nord,inherited,new,20.0,1
2005,Prince Alwaleed Bin Talal Alsaud,5.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,23.7,1
2011,Larry Ellison,5.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,39.5,1
2004,Paul Allen,5.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,21.0,1
2001,Theo and Karl Albrecht,5.0,Germany,Europe,Unknown,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Aldi Nord,inherited,new,25.0,1
2012,Amancio Ortega,5.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,37.5,1
2010,Lakshmi Mittal,5.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,28.7,1
2007,Lakshmi Mittal,5.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,32.0,1
2013,Larry Ellison,5.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,43.0,1
2014,Larry Ellison,5.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,48.0,1
2006,Lakshmi Mittal,5.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,23.5,1
2002,Larry Ellison,5.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,23.5,1
2010,Larry Ellison,6.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,28.0,1
2007,Sheldon Adelson,6.0,United States,North America,1934,male,self-made,Unknown,Real Estate,Financial,Las Vegas Sands,self-made finance, acquired,26.5,1
2001,Prince Alwaleed Bin Talal Alsaud,6.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,20.0,1
2013,Charles Koch,6.0,United States,North America,1936,male,inherited,inherited from father,Energy,Resource Related,Koch industries,inherited,new,34.0,1
2013,David Koch,6.0,United States,North America,1941,male,inherited,inherited from father,Energy,Resource Related,Koch industries,inherited,new,34.0,1
2000,Prince Alwaleed Bin Talal Alsaud,6.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,20.0,1
2014,Charles Koch,6.0,United States,North America,1936,male,inherited,inherited from father,Energy,Resource Related,Koch industries,inherited,new,40.0,1
2014,David Koch,6.0,United States,North America,1941,male,inherited,inherited from father,Energy,Resource Related,Koch industries,inherited,new,40.0,1
2004,Jim Walton,6.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.0,1
2012,Larry Ellison,6.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,36.0,1
2002,Jim Walton,6.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.8,1
2006,Paul Allen,6.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,22.0,1
2005,Ingvar Kamprad,6.0,Sweden,Europe,1927,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,IKEA,founder non-finance,new,23.0,1
2003,Larry Ellison,6.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,16.6,1
2004,Alice Walton,6.0,United States,North America,1949,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.0,1
2011,Lakshmi Mittal,6.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,31.1,1
2008,Anil Ambani,6.0,India,South Asia,1960,male,inherited,Unknown,Media,Non-Traded Sectors,Reliance,inherited,new,42.0,1
2004,S Robson Walton,6.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.0,1
2004,Helen Walton,6.0,United States,North America,1920,female,inherited,spouse or widow,Consumer,Traded Sectors,Walmart,inherited, new,20.0,1
2004,John Walton,6.0,United States,North America,1946,male,inherited,inherited from father,Consumer,Traded Sectors,Walmart,inherited, new,20.0,1
2009,Karl Albrecht,6.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,21.5,1
2010,Bernard Arnault,7.0,France,Europe,1949,male,self-made,Unknown,Consumer,Traded Sectors,LVMH,founder non-finance,acquired,27.5,1
2001,Jim Walton,7.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,18.8,1
2003,S Robson Walton,7.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,16.5,1
2011,Amancio Ortega,7.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,31.0,1
2003,John Walton,7.0,United States,North America,1946,male,inherited,inherited from father,Consumer,Traded Sectors,Walmart,inherited, new,16.5,1
2002,John Walton,7.0,United States,North America,1946,male,inherited,inherited from father,Consumer,Traded Sectors,Walmart,inherited, new,20.7,1
2005,Paul Allen,7.0,United States,North America,1953,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,founder non-finance,new,21.0,1
2007,Bernard Arnault,7.0,France,Europe,1949,male,self-made,Unknown,Consumer,Traded Sectors,LVMH,founder non-finance,acquired,26.0,1
