Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
A Jerrold Perenchio,United States,North America,1931,Media,Non-Traded Sectors,Univision,self-made,executive,male,Unknown,aquired
Abdul Al Rahman  Al Jeraisy,Saudi Arabia,Middle East/North Africa,Unknown,Consumer,Traded Sectors,Jeraisy Group,self-made,founder non-finance,male,Unknown,new
Abdul Aziz Al Ghurair,United Arab Emirates,Middle East/North Africa,1954,Money Management,Financial,Al-Ghurair Group,inherited,inherited,male,inherited from father,new
Abdulaziz Bin Hamad Algosaibi,Saudi Arabia,Middle East/North Africa,1934,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Abdulla Al Futtaim,United Arab Emirates,Middle East/North Africa,Unknown,"Retail, Restaurant",Non-Traded Sectors,Al-Futtaim Group,inherited,inherited,male,inherited from father,new
Abdulla bin Ahmad Al Ghurair,United Arab Emirates,Middle East/North Africa,Unknown,Money Management,Financial,Al-Ghurair Group,inherited,inherited,male,inherited from father,new
Abdullah Al Rajhi,Saudi Arabia,Middle East/North Africa,Unknown,Money Management,Financial,Al Rajhi bank,self-made,self-made finance,male,Unknown,new
Abdulsamad Rabiu,Nigeria,Sub-Saharan Africa,1960,Consumer,Traded Sectors,BUA Group,self-made,founder non-finance,male,Unknown,new
Abigail Johnson,United States,North America,1962,Money Management,Financial,Fidelity Investments,inherited,inherited,female,Third generation,new
Abilio dos Santos Diniz,Brazil,Latin America,1937,"Retail, Restaurant",Non-Traded Sectors,Companhia Brasileira de Distribui?ao,inherited,inherited,male,inherited from father,new
Achille Maramotti,Italy,Europe,1927,Consumer,Traded Sectors,MaxMara,self-made,founder non-finance,male,Unknown,new
Achmad Hamami,Indonesia,East Asia,1931,Non-consumer industrial,Traded Sectors,Trakindo Utama,self-made,founder non-finance,male,Unknown,new
Adi Godrej,India,South Asia,1943,Money Management,Financial,Godrej Group,inherited,inherited,male,Third generation,new
Adolf Merckle,Germany,Europe,1935,Technology-Medical,New Sectors,Ratiopharm,inherited,inherited,male,Fourth generation,new
Adrian Swire,United Kingdom,Europe,1931,Diversified financial,Financial,Swire,inherited,inherited,male,Fourth generation,new
Aerin Lauder Zinterhofer,United States,North America,1970,Consumer,Traded Sectors,Estée Lauder,inherited,inherited,female,Third generation,new
Ahmet Calik,Turkey,Middle East/North Africa,1959,Energy,Resource Related,Calik Holding,self-made,privatized and resources,male,Unknown,new
Ahmet Nazif Zorlu,Turkey,Middle East/North Africa,1945,Technology-Computer,New Sectors,Zorlu Holding,self-made,self-made finance,male,Unknown,new
Ahsen Ozokur,Turkey,Middle East/North Africa,1951,Consumer,Traded Sectors,Yildiz Holding,inherited,inherited,female,inherited from father,new
Airat Shaimiev,Russia,Europe,1962,Energy,Resource Related,TAIF Group,self-made,privatized and resources,male,Unknown,new
Ajay Kalsi,India,South Asia,1961,Energy,Resource Related,Indusgas,self-made,privatized and resources,male,Unknown,new
Ajay Piramal,India,South Asia,1956,Technology-Medical,New Sectors,Piramel,self-made,founder non-finance,male,Unknown,aquired
