Name,Year,Rank,Citizenship,Countrycode,Networthusbillion,Age,Sourceofwealth,IndustryAggregates,North,Region,Industry,Company,Deflator1996,Realnetworth,Realbillionaires, Gdpcurrentus 
Isabel dos Santos,2013,736,Angola,AGO,2,40,investments,Non-Traded Sectors,0,Sub-Saharan Africa,Media,,138.80208,1.4409006,1,"124,163,000,000.00"
Isabel dos Santos,2014,408,Angola,AGO,3.700000048,40,investments,Financial,0,Sub-Saharan Africa,Diversified financial,,138.8021,2.6656659,1,"131,401,000,000.00"
Isabel dos Santos,2015,534,Angola,AGO,3.3,41,Investments,Financial,0,Sub-Saharan Africa,Diversified financial,,138.8021,2.3774858,1,
Isabel dos Santos,15-Sep,,Angola,AGO,3,,Investments,Financial,0,Sub-Saharan Africa,Diversified financial,,138.8021,2.1613507,1,
Sheikh Zayed Bin Sultan Al Nahyan,1997,21,United Arab Emirates,ARE,10,0,,,0,Middle East/North Africa,,,101.6927,,1,"78,839,008,445.00"
Makhtoum bin Rashid Al Maktoum,1998,17,United Arab Emirates,ARE,10,0,,other,0,Middle East/North Africa,Other,,102.734375,9.73384,1,"75,674,338,344.00"
Sheikh Zayed Bin Sultan Al Nahyan,1998,7,United Arab Emirates,ARE,15,0,,,0,Middle East/North Africa,,,102.734375,,1,"75,674,338,344.00"
Abdul Aziz Al Ghurair,1999,226,United Arab Emirates,ARE,1.600000024,45,,Financial,0,Middle East/North Africa,Money Management,,104.296875,1.5340824,1,"84,445,475,410.00"
Mohammed Al Fahim,1999,286,United Arab Emirates,ARE,1,0,,Financial,0,Middle East/North Africa,Real Estate,,104.296875,0.9588015,0,"84,445,475,410.00"
Abdul Aziz Al Ghurair,2000,180,United Arab Emirates,ARE,2.400000095,46,,Financial,0,Middle East/North Africa,Money Management,,106.640625,2.2505496,1,"104,337,000,000.00"
Abdul Aziz Al Ghurair,2001,251,United Arab Emirates,ARE,1.899999976,47,,Financial,0,Middle East/North Africa,Money Management,,109.114586,1.7412887,1,"103,312,000,000.00"
Abdul Aziz Al Ghurair,2002,234,United Arab Emirates,ARE,1.799999952,48,,Financial,0,Middle East/North Africa,Money Management,,110.80729,1.6244419,1,"109,816,000,000.00"
